title,popularity,year
DragonHeart,23.63659,1996
Saw,23.508433,2004
The Revenant,23.501228,2015
Beauty and the Beast,23.433511,1991
The Big Sick,23.424794,2017
Alien,23.37742,1979
Harry Potter and the Deathly Hallows: Part 1,23.300362,2010
The Hobbit: An Unexpected Journey,23.253089,2012
Power Rangers,23.247298,2017
Annabelle,23.242452,2014
The Purge,23.207663,2013
Gladiator,23.186667,2000
Casino Royale,23.065078,2006
The Jungle Book,22.845448,1967
Fist Fight,22.831649,2017
Train to Busan,22.685169,2016
Terminator 2: Judgment Day,22.661695,1991
2001: A Space Odyssey,22.494622,1968
Teenage Mutant Ninja Turtles,22.337973,2014
Tomorrowland,22.296076,2015
Despicable Me,22.274502,2010
The Incredibles,22.220214,2004
Angels & Demons,22.211558,2009
Penguins of Madagascar,22.201607,2014
Ghostbusters,22.089729,1984
Iron Man,22.073099,2008
The Wizard of Oz,22.064932,1939
Charlie and the Chocolate Factory,22.038405,2005
Stonehearst Asylum,21.991755,2014
Toy Story,21.946943,1995
The Hangover Part II,21.893532,2011
I.T.,21.815354,2016
The Lost City of Z,21.791111,2016
Aliens,21.761179,1986
Saving Private Ryan,21.758054,1998
Seven Pounds,21.708267,2008
The Lion King,21.605761,1994
Divergent,21.572585,2014
Kill Bill: Vol. 2,21.533072,2004
Enigma,21.520641,2001
I Spit on Your Grave III: Vengeance is Mine,21.505988,2015
Jupiter Ascending,21.463465,2015
Harry Potter and the Order of the Phoenix,21.3643,2007
Cast Away,21.296343,2000
Nightcrawler,21.277073,2014
TRON: Legacy,21.259,2010
Straight Outta Compton,21.183077,2015
Mulan,21.180857,1998
Pixels,21.14796,2015
The Key,21.079551,1983
The Bourne Identity,21.040126,2002
Hacksaw Ridge,21.037699,2016
The Pursuit of Happyness,20.981716,2006
Horrible Bosses 2,20.903362,2014
In a Heartbeat,20.82178,2017
Terminator 3: Rise of the Machines,20.818907,2003
Braveheart,20.755149,1995
American Beauty,20.726578,1999
The Bar,20.720113,2017
Amityville: The Awakening,20.712818,2017
Scouts Guide to the Zombie Apocalypse,20.683405,2015
Minority Report,20.666063,2002
Star Trek Beyond,20.659284,2016
The Hobbit: The Desolation of Smaug,20.644776,2013
Underworld,20.624333,2003
Sin City: A Dame to Kill For,20.623642,2014
The Dark Knight Rises,20.58258,2012
San Andreas,20.547925,2015
Ratatouille,20.50803,2007
It Comes at Night,20.504587,2017
Beautiful Creatures,20.485203,2013
Leon: The Professional,20.477329,1994
The Bourne Supremacy,20.40426,2004
S.W.A.T.: Under Siege,20.38691,2017
It Follows,20.359336,2015
Amazing Grace,20.346477,2006
The Hateful Eight,20.328822,2015
Skyfall,20.309585,2012
Passengers,20.303632,2016
Top Gun,20.301019,1986
Kidnap,20.214579,2017
V for Vendetta,20.214422,2006
Ice Age: Collision Course,20.151037,2016
Black Butterfly,20.058633,2017
Sing,20.045673,2016
The Hunger Games,20.031667,2012
Underworld: Blood Wars,20.02976,2016
Derailed,20.020975,2002
The Green Mile,19.96678,1999
American Pastoral,19.953565,2016
"Crouching Tiger, Hidden Dragon",19.944953,2000
Live by Night,19.94393,2016
Dr. No,19.931606,1962
War of the Worlds,19.929377,2005
Dead Poets Society,19.905716,1989
Raiders of the Lost Ark,19.901576,1981
The Woman in Red,19.856025,1984
Catch Me If You Can,19.833077,2002
Child's Play,19.827546,1988
Equals,19.803969,2015
Cinderella,19.801128,2015
Django Unchained,19.785025,2012
King Kong,19.761164,2005
Jaws,19.726114,1975
La La Land,19.681686,2016
Factory Girl,19.651793,2006
Non-Stop,19.650229,2014
Ted,19.638605,2012
Beauty and the Beast,19.628834,2014
The Shining,19.611589,1980
Hercules,19.606895,2014
The Last Samurai,19.582325,2003
Iron Sky,19.561767,2012
Night at the Museum: Secret of the Tomb,19.539436,2014
Super 8,19.529911,2011
The Emerald Forest,19.520733,1985
Sicario,19.511221,2015
