title,popularity,year
Teen Titans: Trouble in Tokyo,7.261823,2006
The 36th Chamber of Shaolin,7.261696,1978
Palo Alto,7.261527,2014
When Saturday Comes,7.26141,1996
Congo,7.260574,1995
Mirage,7.259158,1965
Shoot 'Em Up,7.259086,2007
Never Been Kissed,7.257679,1999
Not Easily Broken,7.256932,2009
Matinee,7.256473,1993
Bill & Ted's Bogus Journey,7.256293,1991
Sex and the City 2,7.255991,2010
She's Having a Baby,7.255375,1988
Hope Springs,7.255301,2012
Stick It,7.255225,2006
Barbie in the Pink Shoes,7.254864,2013
The Raven,7.254242,2012
House Party 2,7.252003,1991
Crazy in Alabama,7.250842,1999
With Open Arms,7.250495,2017
Welcome to the Sticks,7.250134,2008
Paranoia,7.249581,2013
Rope,7.248676,1948
The Last Word,7.248414,2017
Mars Needs Moms,7.24717,2011
Single White Female,7.246119,1992
Boruto: Naruto the Movie,7.245984,2015
Asterix the Gaul,7.24597,1967
Muppets Most Wanted,7.244956,2014
Beneath,7.244622,2013
Fear City,7.241443,1984
Dante's Peak,7.240753,1997
Thunderstruck,7.239241,2012
Loft,7.236542,2008
We Have a Pope,7.235656,2011
Enter the Warriors Gate,7.231992,2016
Gorgeous,7.231256,1999
Adventures in Babysitting,7.230508,1987
Passion Play,7.230431,2010
Peeping Tom,7.229587,1960
Lady Snowblood,7.228457,1973
The Butterfly Effect 3: Revelations,7.228413,2009
Crime of Passion,7.227515,1957
Green Lantern: Emerald Knights,7.226834,2011
Ernest & Celestine,7.225779,2012
Kiss Me Deadly,7.224904,1955
The Delta Force,7.224683,1986
Stoker,7.222816,2013
Anne of Green Gables,7.222048,1985
Sabrina the Teenage Witch,7.220815,1996
Contracted,7.220003,2013
Walk Hard: The Dewey Cox Story,7.219935,2007
Small Crimes,7.219022,2017
The Indian Runner,7.218957,1991
American Violence,7.217742,2017
Garfield: A Tail of Two Kitties,7.217377,2006
Human Capital,7.217205,2014
City of Life and Death,7.216103,2009
Texas Chainsaw 3D,7.214828,2013
Little Voice,7.214017,1998
A Midnight Clear,7.210452,1992
Four Christmases,7.210383,2008
Sneakers,7.207325,1992
The Wicker Man,7.206941,1973
Hush,7.205636,2016
Shaolin Wooden Men,7.205569,1976
The Man Who Wasn't There,7.204951,2001
The Long Goodbye,7.204017,1973
Knockin' on Heaven's Door,7.203307,1997
In July,7.202994,2000
No One Lives,7.202832,2013
Magic Magic,7.201765,2013
After the Thin Man,7.201727,1936
A Christmas Carol,7.199078,1984
2-Headed Shark Attack,7.198828,2012
Paperman,7.198633,2012
Super Mario Bros.,7.198455,1993
Holidays,7.19726,2016
Alice,7.196816,1990
My Life in Ruins,7.19669,2009
Music and Lyrics,7.196688,2007
Kate & Leopold,7.196356,2001
The Brink's Job,7.196137,1978
Up in Smoke,7.194364,1978
The Ruins,7.192452,2008
The Cabinet of Dr. Caligari,7.191271,1920
Smokey and the Bandit II,7.190986,1980
Monster,7.189024,2003
Empire Records,7.188728,1995
Freddy Got Fingered,7.187919,2001
Joseph: King of Dreams,7.18782,2000
Homeward Bound: The Incredible Journey,7.186506,1993
Midnight Express,7.186048,1978
The Brothers Rico,7.18577,1957
Lizzie Borden Took An Ax,7.185427,2014
Luther,7.182909,2003
Prom Night,7.18216,2008
The Mad Adventures of Rabbi Jacob,7.18207,1973
Airplane II: The Sequel,7.181664,1982
Delirium,7.181428,2014
Rapa Nui,7.180346,1994
Lord Jim,7.1802,1965
Drums Along the Mohawk,7.179812,1939
Stepmom,7.17892,1998
Men of Honor,7.177649,2000
Emergo,7.177295,2011
Paradise,7.176726,1991
Hard to Kill,7.176601,1990
Amira & Sam,7.175939,2014
Detective Dee and the Mystery of the Phantom Flame,7.17548,2010
Obsessed,7.175154,2009
A Little Bit of Heaven,7.174869,2011
Gentlemen Prefer Blondes,7.174547,1953
Election,7.174396,1999
Asterix vs. Caesar,7.174178,1985
Rogue,7.173304,2007
The Lost Honor of Katharina Blum,7.172922,1975
Onegin,7.171138,1999
Monster High: Electrified,7.170738,2017
Mr. Canton and Lady Rose,7.170685,1989
The Shamer's Daughter,7.169599,2015
Bowfinger,7.169508,1999
Stealing Home,7.168975,1988
Yamakasi,7.165551,2001
Tim,7.165079,1979
Electrick Children,7.164645,2012
Bad Ass 2: Bad Asses,7.164554,2014
Spy Kids 2: The Island of Lost Dreams,7.164131,2002
Theatre of Blood,7.163505,1973
House of Wax,7.163099,2005
The Hitcher,7.160967,2007
Luxo Jr.,7.160378,1986
Star Trek II: The Wrath of Khan,7.160236,1982
Panther,7.160149,1995
Churchill,7.15731,2017
2046,7.157169,2004
"Sex, Party and Lies",7.156341,2009
The Whole Ten Yards,7.15606,2004
Primer,7.15307,2004
Breakout,7.152793,2013
Never Back Down: No Surrender,7.152451,2016
Escape to Witch Mountain,7.151691,1975
The Beguiled,7.150611,1971
Dead Man Down,7.150388,2013
Hit & Run,7.148558,2012
The Night Flier,7.146514,1997
The Ice Storm,7.146352,1997
Blood Father,7.146017,2016
Black Venus,7.145871,2010
Red Tails,7.145835,2012
An American Werewolf in Paris,7.145784,1997
Steel Magnolias,7.14561,1989
The Shop Around the Corner,7.144236,1940
Welcome to Me,7.143088,2014
Mr. Holland's Opus,7.137117,1995
The Mudge Boy,7.137026,2003
Mutiny on the Bounty,7.135215,1935
ARQ,7.134446,2016
After Sex,7.134232,2007
Speed Racer,7.134168,2008
Solino,7.132709,2002
Chuck,7.132024,2017
Biutiful,7.131568,2010
The Way,7.131032,2010
Hostel: Part III,7.130411,2011
The Suspect,7.130407,2013
Banshee Chapter,7.130195,2013
"Rudolph, the Red-Nosed Reindeer",7.129761,1964
Tracker,7.12869,2010
The Rite,7.128117,2011
Paprika,7.128022,2006
Dirty Love,7.125902,2005
Sphere,7.124735,1998
Kama Sutra - A Tale of Love,7.124652,1996
It's Hot In Paradise,7.123949,1960
The Hard Way,7.122938,1991
Top Hat,7.122093,1935
Nothing,7.121398,2003
The Doom Generation,7.120806,1995
Machete,7.120403,2010
The Moguls,7.11869,2005
Indecent Proposal,7.118123,1993
Virus,7.116537,1999
Catch Hell,7.115612,2014
Spun,7.115355,2002
Marilyn Hotchkiss' Ballroom Dancing & Charm School,7.113961,2006
Liberal Arts,7.113542,2012
After the Dark,7.113372,2013
The Numbers Station,7.112624,2013
Mater and the Ghostlight,7.111223,2006
Thesis,7.110912,1996
Bachelor Party 2: The Last Temptation,7.109581,2008
Baarìa,7.109369,2009
The Unborn,7.108555,2009
All the Right Moves,7.108331,1983
Crimes of Fashion,7.107178,2004
Selma,7.107071,2014
Masters of the Universe,7.106954,1987
Christine,7.106757,1983
Dead Fish,7.106448,2005
The Protector,7.106226,1985
360,7.104451,2012
Mysterious Skin,7.103951,2004
Who's Harry Crumb?,7.102963,1989
License to Wed,7.102076,2007
Cheaper by the Dozen 2,7.101422,2005
Police Academy 3: Back in Training,7.10005,1986
Charade,7.098731,1963
Somewhere,7.098301,2010
Barbie: Fairytopia,7.097884,2005
Middle Men,7.095445,2009
Catacombs,7.095063,2007
Righteous Kill,7.094624,2008
Devil,7.094276,2010
The Wild Life,7.093984,1984
A Monster in Paris,7.093805,2011
Airheads,7.09232,1994
Burnt by the Sun 2: Intercession,7.091212,2010
Odd Thomas,7.090029,2013
Assault on Wall Street,7.089715,2013
3096 Days,7.089137,2013
Jane Eyre,7.089084,2011
Freeway,7.088533,1996
The Invention of Lying,7.087161,2009
The Frisco Kid,7.085212,1979
The Thinning,7.084179,2016
Shrek the Halls,7.081997,2007
The To Do List,7.081404,2013
'71,7.08055,2014
The Blob,7.079055,1958
Firehouse Dog,7.078447,2007
The Beatles: Eight Days a Week - The Touring Years,7.078301,2016
Everybody Loves Somebody,7.077991,2017
Chimes at Midnight,7.076799,1965
Awake,7.076062,2007
The Monster Squad,7.075534,1987
Kill Your Darlings,7.075031,2013
"Like Father, Like Son",7.074042,2013
88,7.073602,2015
Pushing Tin,7.073467,1999
Angels Sing,7.073059,2013
Pokémon 4Ever: Celebi - Voice of the Forest,7.072301,2001
Sleep Tight,7.0713,2011
El Dorado,7.070669,1966
Attraction,7.070085,2017
Midnight Lace,7.069045,1960
Wheels on Meals,7.068829,1984
All Dogs Go to Heaven,7.068389,1989
Little Man,7.067602,2006
Safety Not Guaranteed,7.067494,2012
The Dead Pool,7.066395,1988
Cujo,7.065626,1983
She's All That,7.064982,1999
Promised Land,7.06378,2012
The Chaser,7.062323,2008
Dirty Work,7.061315,1998
My Dog Skip,7.061185,2000
Accepted,7.06088,2006
Ride with the Devil,7.059308,1999
Sympathy for Delicious,7.058832,2011
Ghosts of Mars,7.058599,2001
Masquerade,7.058299,1988
Vamp U,7.057051,2013
She's Gotta Have It,7.056652,1986
The Lion in Winter,7.056355,1968
The Four Feathers,7.055347,1939
The Money Pit,7.054864,1986
American Splendor,7.05435,2003
Women in Trouble,7.052376,2009
A Star Is Born,7.051183,1954
The MacKintosh Man,7.051042,1973
Black Snake Moan,7.050403,2006
Before Sunset,7.048957,2004
My Last Five Girlfriends,7.04835,2009
Firestarter,7.048087,1984
Beyond the Clouds,7.047574,1995
Hard Eight,7.04756,1996
Starred Up,7.047117,2013
Sniper 3,7.046943,2004
Testament of Youth,7.046825,2014
Days of Thunder,7.046753,1990
The Corpse of Anna Fritz,7.043286,2015
Cops & Robbersons,7.042878,1994
The Family Stone,7.041967,2005
Vanya on 42nd Street,7.039846,1994
Batman: Under the Red Hood,7.039325,2010
Flash Point,7.039209,2007
What's in a Name,7.038718,2012
Shiri,7.036727,1999
Fighting,7.036697,2009
Emma,7.036457,1996
Finding Vivian Maier,7.035082,2014
The Body,7.034927,2001
She's Funny That Way,7.032964,2014
Even Money,7.032075,2006
Justice League: The New Frontier,7.031719,2008
American Buffalo,7.031279,1996
Lake Placid 3,7.030888,2010
War of the Arrows,7.030308,2011
Quatermass II,7.029675,1957
The Burning Plain,7.02914,2008
Foxfire,7.025918,2012
Presumed Innocent,7.025657,1990
Mighty Morphin Power Rangers: The Movie,7.024227,1995
The Tigger Movie,7.023414,2000
P.O. Box Tinto Brass,7.02299,1995
Half Baked,7.022548,1998
Neverlake,7.022339,2013
Madea's Witness Protection,7.021866,2012
The Beast of War,7.021336,1988
Triple Dog,7.021114,2010
12 Dates of Christmas,7.020737,2011
Tekkonkinkreet,7.020628,2006
Bullitt,7.01973,1968
Man of the Year,7.018483,2006
Flubber,7.016942,1997
The Other Side of the Door,7.016801,2016
City Island,7.016044,2009
This Is It,7.015456,2009
One Fine Day,7.009946,1996
Ice Age: A Mammoth Christmas,7.009931,2011
Girl with a Pearl Earring,7.008512,2003
Norm of the North,7.008103,2016
Rabbit Hole,7.007993,2010
Delta Force 2: The Colombian Connection,7.007739,1990
The Country Bears,7.007574,2002
"Suddenly, Last Summer",7.007423,1959
Mega Shark vs. Crocosaurus,7.006573,2010
D.O.A.,7.005083,1950
Adam,7.003724,2009
Vantage Point,7.001645,2008
Cecil B. Demented,7.000983,2000
Sanctum,7.000775,2011
Takers,7.000421,2010
Bride of Frankenstein,7.000417,1935
The Ant Bully,7.000272,2006
Lust for Love,7.000038,2014
Bébé's Kids,6.997911,1992
A Man for All Seasons,6.997888,1966
The Forbidden Kingdom,6.997601,2008
Neruda,6.997583,2016
Every Jack has a Jill,6.997563,2009
Sorry if I Want to Marry You,6.994235,2010
The Family Tree,6.993769,2011
The Librarian: Quest for the Spear,6.992152,2004
Romeo and Juliet,6.99099,1968
Ike: Countdown to D-Day,6.988241,2004
Cold Prey II,6.987879,2008
The Big Sleep,6.987617,1946
Still Walking,6.98658,2008
Barely Legal,6.986182,2003
The Immigrant,6.985915,2013
Stroker Ace,6.98584,1983
"Yesterday, Today and Tomorrow",6.98571,1963
Campfire Tales,6.985328,1997
Barnyard,6.984949,2006
The Woodsman,6.984903,2004
Perfect Strangers,6.984664,2016
Hellraiser: Inferno,6.984609,2000
Unthinkable,6.983803,2010
Timeline,6.982762,2003
The Wave,6.982302,2015
"Paris, je t'aime",6.980486,2006
Dinotopia,6.979858,2002
Pelé: Birth of a Legend,6.979073,2016
I Am Dina,6.978177,2002
Barbie: A Perfect Christmas,6.97712,2011
Spring,6.976514,2014
Night Train to Lisbon,6.976215,2013
French Women,6.976069,2014
12,6.975759,2007
Bad Company,6.975511,1972
"Farewell, My Queen",6.974885,2012
Nevada Smith,6.974375,1966
Black Rain,6.973408,1989
Regarding Henry,6.972737,1991
Norwegian Wood,6.972723,2010
Poetic Justice,6.972599,1993
The Illusionist,6.971611,2010
The Hi-Lo Country,6.971268,1998
Revenge of the Pink Panther,6.970037,1978
Mistress America,6.969947,2015
The Greatest Game Ever Played,6.969342,2005
The Riot Club,6.967835,2014
Song of the Sea,6.967358,2014
Barbie and the Magic of Pegasus 3-D,6.966851,2005
Stuck on You,6.96675,2003
Kickboxer: Vengeance,6.966654,2016
Sabotage,6.966505,2014
Rose Red,6.965725,2002
Good People,6.965686,2014
Shimmer Lake,6.965189,2017
Europa Report,6.964263,2013
Masterminds,6.963206,1997
Used Cars,6.963023,1980
Cinderella III: A Twist in Time,6.961912,2007
Just Add Water,6.961849,2008
"Lust, Caution",6.96177,2007
Rookie of the Year,6.961256,1993
Confidence,6.959638,2003
Streets of Fire,6.958758,1984
What's Your Number?,6.958086,2011
1944,6.95773,2015
Dickie Roberts: Former Child Star,6.957601,2003
Persuasion,6.955841,2007
Dead of Night,6.954993,1945
Fear,6.954926,1996
Wicked Little Things,6.954593,2006
August: Osage County,6.954296,2013
Hiroshima Mon Amour,6.953676,1959
Say Anything...,6.953646,1989
The Round Up,6.951496,2010
Mickey Blue Eyes,6.951414,1999
Desperado,6.950458,1995
Good Kids,6.950195,2016
New Year's Eve,6.948818,2011
Being Elmo: A Puppeteer's Journey,6.94881,2011
Seeking a Friend for the End of the World,6.947533,2012
Genghis Khan,6.946494,1965
One-Eyed Jacks,6.945886,1961
Scooby-Doo! Abracadabra-Doo,6.945449,2010
Viral,6.944764,2016
Shut In,6.944457,2016
Night of the Demons,6.942907,1988
Hellboy Animated: Blood and Iron,6.942203,2007
The Woman in Black 2: Angel of Death,6.942139,2014
Cartels,6.942043,2016
Joshua,6.941735,2007
Static,6.941034,2012
Kickboxer,6.939994,1989
Mighty Joe Young,6.939576,1998
Another 48 Hrs.,6.938921,1990
High Life,6.936818,2009
Talladega Nights: The Ballad of Ricky Bobby,6.936688,2006
The Life Aquatic with Steve Zissou,6.936677,2004
Carry On Screaming,6.933646,1966
The Good Witch,6.93335,2008
Comet,6.93232,2014
Quartet,6.93228,2012
"Food, Inc.",6.931952,2008
Aftershock: Earthquake in New York,6.930899,1999
Lost & Found,6.929959,2016
The Lost Bladesman,6.929708,2011
Killing Lincoln,6.929223,2013
Philomena,6.927182,2013
"OSS 117: Cairo, Nest of Spies",6.926251,2006
Demolition,6.925667,2016
Greed,6.925081,1924
I Am Omega,6.924892,2007
"Corrina, Corrina",6.924689,1994
Man Hunt,6.924131,1941
Bull Durham,6.924072,1988
Deep Rising,6.922458,1998
The Scorpion King 3: Battle for Redemption,6.922123,2012
Eraser,6.919314,1996
Outland,6.918821,1981
The Devil Dared Me To,6.91842,2007
Prime,6.916209,2005
She's the Man,6.916201,2006
The Innocents,6.915263,2016
Coriolanus,6.914615,2011
Voyage of Time: Life's Journey,6.913581,2017
Big Game,6.911759,2014
Intimate Strangers,6.91026,2004
Why We Fight,6.908381,2005
Fever Pitch,6.906939,1997
Killer Klowns from Outer Space,6.906831,1988
Hot Pursuit,6.90658,2015
The Change-Up,6.906145,2011
Bottle Rocket,6.904831,1996
And Soon the Darkness,6.904518,2010
Muppet Treasure Island,6.902423,1996
Poison Ivy,6.901684,1992
Lavalantula,6.901559,2015
The Boy and the Beast,6.900285,2015
Bionicle: Mask of Light,6.897756,2003
"McFarland, USA",6.894606,2015
Wild Strawberries,6.89416,1957
The Four Feathers,6.894153,2002
Cobra,6.892829,1986
A Prophet,6.892315,2009
Out for Justice,6.892056,1991
Amy Schumer: The Leather Special,6.891989,2017
Fun Size,6.891823,2012
Dead Man Walking,6.891317,1995
Diet of Sex,6.889832,2014
Frankie and Johnny,6.889748,1991
Tom and Jerry & The Wizard of Oz,6.889644,2011
Knight of Cups,6.88947,2015
Careful What You Wish For,6.88876,2015
I Want You,6.888131,1998
Madame Bovary,6.885614,2015
From Paris with Love,6.885593,2010
Breach,6.885359,2007
The First Beautiful Thing,6.883023,2010
Cadillac Man,6.882529,1990
Deal,6.880365,2008
Deal,6.880365,2008
Barbie in the Nutcracker,6.879235,2001
Street Fighter II: The Animated Movie,6.878263,1994
Chariots of Fire,6.877698,1981
Going the Distance,6.876053,2010
Requiem for a Dream,6.874828,2000
A Shot in the Dark,6.872888,1964
Vincent N Roxxy,6.871869,2016
1½ Knights - In Search of the Ravishing Princess Herzelinde,6.871788,2008
War of the Worlds 2: The Next Wave,6.870464,2008
Abbott and Costello Meet the Invisible Man,6.870281,1951
Stasis,6.868237,2017
"Two Days, One Night",6.868022,2014
Off the Map,6.866857,2003
Highlander: The Final Dimension,6.866634,1994
Boyz n the Hood,6.866506,1991
Talk Radio,6.865513,1988
Dazed and Confused,6.8652,1993
The Cutting Edge: Going for the Gold,6.865148,2006
Monster High: Welcome to Monster High,6.864748,2016
The Deaths of Ian Stone,6.86365,2007
Irrational Man,6.862812,2015
Double Identity,6.862603,2009
The Astronaut Farmer,6.862146,2006
The Imaginarium of Doctor Parnassus,6.859934,2009
A Conspiracy of Faith,6.859858,2016
Gentleman's Agreement,6.857318,1947
Spare Parts,6.856419,2015
Set It Off,6.85606,1996
Surviving Sid,6.855234,2008
Mystic Pizza,6.854978,1988
Texas Chainsaw Massacre: The Next Generation,6.854576,1994
Gung Ho,6.853782,1986
5 to 7,6.852262,2014
Shattered,6.851939,1991
Idle Hands,6.851628,1999
Coherence,6.851243,2013
Supremacy,6.849918,2014
A Christmas Horror Story,6.848664,2015
Nick of Time,6.848591,1995
Dead Reckoning,6.848208,1947
Ooops! Noah is Gone...,6.845062,2015
Howl,6.844863,2015
CRAZY,6.844818,2005
Logan's Run,6.842274,1976
Wolf Creek 2,6.842107,2013
Funny Games,6.841586,2007
Four Brothers,6.84109,2005
The Young and Prodigious T.S. Spivet,6.839535,2013
Fahrenheit 9/11,6.83946,2004
"Sex, Love & Therapy",6.837575,2014
Sweet and Lowdown,6.836569,1999
Wakefield,6.835437,2016
Hidden Assassin,6.833725,1995
The Assassination Bureau,6.833346,1969
Barbie in A Mermaid Tale,6.833148,2010
The Last Dragon,6.830599,1985
Elegy,6.829658,2008
The Santa Clause 3: The Escape Clause,6.829528,2006
Romancing the Stone,6.827193,1984
Zulu,6.826661,2013
The Ides of March,6.82647,2011
The Butcher's Wife,6.825983,1991
Repulsion,6.825852,1965
Don't Say a Word,6.824871,2001
Oliver's Story,6.823808,1978
Pet Sematary II,6.823445,1992
Little Lord Fauntleroy,6.821649,1980
Tusk,6.820925,2014
The Harder They Come,6.820596,1972
Duck Soup,6.819957,1933
Open Hearts,6.818513,2002
Palm Trees in the Snow,6.818031,2015
The Seven Year Itch,6.81733,1955
Legend of the BoneKnapper Dragon,6.816869,2010
Hot Pursuit,6.816276,1987
Mike's New Car,6.816147,2002
The Unbearable Lightness of Being,6.815147,1988
Santa Sangre,6.813784,1989
Great Expectations,6.812108,2012
All Three of Us,6.811994,2015
Picnic at Hanging Rock,6.811264,1975
Bridesmaids,6.810991,2011
Effie Gray,6.808109,2014
The Lincoln Lawyer,6.807442,2011
Surveillance,6.804406,2008
Who Is Cletis Tout?,6.804386,2001
The Discovery,6.803535,2017
Fame,6.803354,2009
The Beat That My Heart Skipped,6.80183,2005
Grand Piano,6.801095,2013
You're Not You,6.800456,2014
Zombie Flesh Eaters,6.798595,1979
A Close Shave,6.796858,1995
Tideland,6.796465,2005
How High,6.796277,2001
Beauty Shop,6.795949,2005
Byzantium,6.79497,2012
My Sister's Keeper,6.793972,2009
The Monkey King,6.793767,2014
Make Your Move,6.792607,2013
Glengarry Glen Ross,6.792215,1992
The Escort,6.791697,2015
Secret in Their Eyes,6.79115,2015
Sometimes They Come Back,6.789271,1991
Two Night Stand,6.788822,2014
The Mighty,6.78844,1998
Dirty Rotten Scoundrels,6.78824,1988
The Incredible Shrinking Woman,6.788178,1981
Gods and Monsters,6.788021,1998
The Crowd,6.78748,1928
Everybody's Fine,6.786855,2009
"Men, Women & Children",6.785735,2014
Fifty Shades of Black,6.785049,2016
The Celluloid Closet,6.784687,1996
He Never Died,6.78295,2015
Enough Said,6.782909,2013
Twelve,6.782478,2010
The Rules of Attraction,6.781935,2002
Cat's Eye,6.781815,1985
A Lonely Place to Die,6.780752,2011
Chungking Express,6.778979,1994
Adventureland,6.77887,2009
Dragon Ball Z: Fusion Reborn,6.778755,1995
Broken Embraces,6.777379,2009
Killing Them Softly,6.777326,2012
The Maiden Heist,6.776165,2009
Seal Team Eight: Behind Enemy Lines,6.775165,2014
Dobermann,6.774793,1997
Pink Floyd: The Wall,6.773407,1982
Grace of Monaco,6.773278,2014
Tucker and Dale vs Evil,6.771868,2010
Melody Time,6.771815,1948
Terraferma,6.771605,2011
Birth,6.771415,2004
The Bay,6.770051,2012
The Muppet Movie,6.769866,1979
The Grudge 2,6.768804,2006
Julieta,6.768165,2016
Sicko,6.766086,2007
Fat Albert,6.765443,2004
Chernobyl Diaries,6.76513,2012
The Ghost Writer,6.76482,2010
The Nanny Diaries,6.764056,2007
Dr. T and the Women,6.761308,2000
A Shine of Rainbows,6.760491,2009
Out of the Furnace,6.760321,2013
Every Which Way But Loose,6.759519,1978
The Transformers: The Movie,6.759181,1986
Fathers and Daughters,6.758038,2015
Jessabelle,6.757875,2014
Miracle in Cell No. 7,6.757725,2013
I'm So Excited!,6.757549,2013
Accidents Happen,6.756741,2009
Tramps,6.754817,2016
Azumi 2: Death or Love,6.754744,2005
Punch-Drunk Love,6.753969,2002
Battle: Los Angeles,6.753746,2011
Salmon Fishing in the Yemen,6.753328,2011
The Wind That Shakes the Barley,6.752524,2006
The Scarlet Letter,6.752119,1995
Police Story 3: Supercop,6.751864,1992
Saint Seiya: Legend of Sanctuary,6.751603,2014
The Stranger,6.749799,1946
8½,6.747516,1963
The Rich Man's Wife,6.746475,1996
Double Trouble,6.744702,1984
Tooth Fairy,6.74468,2010
The Place Promised in Our Early Days,6.74453,2004
Song One,6.743182,2014
What a Girl Wants,6.743151,2003
Grandma's Boy,6.741159,2006
Superchondriac,6.741118,2014
Cuban Fury,6.739737,2014
What's the Worst That Could Happen?,6.739365,2001
Sacrifice,6.738661,2011
Everybody Wants Some!!,6.737797,2016
No Tears for the Dead,6.737604,2014
Melvin and Howard,6.737435,1980
Battle for Terra,6.737142,2007
Circle,6.735649,2015
The Devil and Daniel Webster,6.735297,1941
A Princess for Christmas,6.73437,2011
The 300 Spartans,6.734287,1962
Fever Pitch,6.734065,2005
Semi-Pro,6.733237,2008
These Final Hours,6.732991,2014
The Wizard of Gore,6.731577,2007
The Lizzie McGuire Movie,6.730857,2003
The Barefoot Contessa,6.730728,1954
Lupin the 3rd,6.730243,2014
"Marvel: 75 Years, From Pulp to Pop!",6.729792,2014
Back in the Day,6.729595,2016
Michael Collins,6.728199,1996
Backtrack,6.727871,2015
The Collector,6.727804,2009
Beginners,6.72639,2010
The First $20 Million Is Always the Hardest,6.725887,2002
White Christmas,6.723456,1954
Dungeons & Dragons: Wrath of the Dragon God,6.722598,2005
Lottery Ticket,6.720886,2010
My Big Fat Greek Wedding,6.719949,2002
Project A II,6.7196,1987
Guess Who,6.71898,2005
Stuck in Love,6.715938,2012
Psycho,6.715898,1998
The Object of My Affection,6.715856,1998
Doghouse,6.715813,2009
The Howling,6.715512,1981
The Bounty Hunter,6.715263,2010
Parkland,6.71518,2013
I Know That Voice,6.715162,2013
Live Flesh,6.715019,1997
The Circus,6.714813,1928
Butch Cassidy and the Sundance Kid,6.714577,1969
Main Street,6.713351,2010
Wild Target,6.712894,2010
The Extraordinary Adventures of Adèle Blanc-Sec,6.710598,2010
The American Friend,6.710499,1977
Junior,6.710215,1994
The Pass,6.710179,2016
Evita,6.709803,1996
Dark Circles,6.708802,2013
Under the Skin,6.707974,2014
The Little Rascals,6.707109,1994
Asterix and the Big Fight,6.706328,1989
Nine 1/2 Weeks,6.706262,1986
Look Who's Back,6.704659,2015
The Scribbler,6.703925,2014
Max Steel,6.703892,2016
One Missed Call,6.703174,2003
Flodder,6.702844,1986
Poltergeist II: The Other Side,6.701138,1986
Last Life in the Universe,6.700563,2003
Class of 1999,6.700173,1990
Welcome to the South,6.700081,2010
Blind Date,6.696292,1987
22 Bullets,6.69573,2010
Dolphin Tale,6.695229,2011
The French Connection,6.694959,1971
The Big Picture,6.69473,1989
Babysitting,6.694707,2014
Finder's Fee,6.693644,2001
Foodfight!,6.693589,2012
The Cannonball Run,6.693055,1981
The Dreamers,6.685981,2003
The Lawnmower Man,6.685948,1992
An Inconvenient Truth,6.684925,2006
God Help the Girl,6.684283,2014
Sixteen Candles,6.683723,1984
The Rainmaker,6.683398,1997
Enough,6.681287,2002
The Devil's Double,6.681211,2011
Rollerball,6.680938,1975
The Final Girls,6.679341,2015
The Marine,6.679168,2006
Assassination of a High School President,6.67905,2008
On Deadly Ground,6.678661,1994
Gacy,6.677536,2003
Rock'n Roll,6.677459,2017
Sabrina,6.677277,1995
Vincent,6.675518,1982
Skirt Day,6.675401,2008
The Informers,6.675032,2008
Mr. Deeds,6.674356,2002
The Ultimate Warrior,6.673398,1975
The Hand that Rocks the Cradle,6.672715,1992
By Dawn's Early Light,6.6716,1990
Nutty Professor II: The Klumps,6.671316,2000
JCVD,6.670933,2008
Under the Bed,6.670898,2012
Barbie and the Three Musketeers,6.670165,2009
Poolhall Junkies,6.670148,2002
Girl vs. Monster,6.670101,2012
Back to School,6.669879,1986
Tarzan II,6.668987,2005
In the Electric Mist,6.666455,2009
Barbie as The Princess & the Pauper,6.665069,2004
The Spy Next Door,6.663422,2010
Speak,6.66323,2004
Jesus Henry Christ,6.662375,2012
I Killed My Mother,6.662036,2009
Legends of Oz: Dorothy's Return,6.660309,2013
Street Fighter: The Legend of Chun-Li,6.660188,2009
The Neverending Story II: The Next Chapter,6.658994,1990
Earthquake,6.657792,1974
Let It Ride,6.657723,1989
The Jack Bull,6.657247,1999
A Place in the Sun,6.656993,1951
Blue Hawaii,6.656799,1961
A Face in the Crowd,6.656685,1957
The Four,6.653942,2012
2 Days in Paris,6.653254,2007
October Sky,6.652528,1999
Black Gold,6.652197,2011
Keep the Lights On,6.651607,2012
The Big Wedding,6.651605,2013
Phantom,6.651567,2013
Homecoming,6.650064,2009
Shock Waves,6.649791,1977
The Brave Little Toaster,6.649391,1987
The Crimson Rivers,6.649222,2000
Life-Size,6.648653,2000
Talk to Her,6.648278,2002
Mansfield Park,6.646005,1999
I Now Pronounce You Chuck & Larry,6.645799,2007
Crimes and Misdemeanors,6.645295,1989
45 Years,6.645078,2015
Mercury Rising,6.644644,1998
The Substitute 2: School's Out,6.643263,1998
Largo Winch II,6.643015,2011
Crush,6.642311,2013
Last Days in the Desert,6.641951,2016
The Man Who Shot Liberty Valance,6.641827,1962
Lost River,6.640704,2015
Crocodile Dundee in Los Angeles,6.640385,2001
College Road Trip,6.640014,2008
Shane,6.63816,1953
Billy Madison,6.638116,1995
Kung Fu Panda: Secrets of the Furious Five,6.638013,2008
7 Dwarves: The Forest Is Not Enough,6.637562,2006
Pawn Shop Chronicles,6.637114,2013
Artifact,6.637049,2012
The African Queen,6.636872,1951
31,6.636625,2016
Dark Corners,6.636622,2006
Kung Fu Jungle,6.636514,2014
The Truth About Emanuel,6.636313,2013
Full Speed,6.636211,2016
Les Girls,6.636057,1957
Wer,6.635861,2013
Wyrmwood: Road Of The Dead,6.635569,2014
