actor,return
Aldo Sambrell,17.584471045454546
Caleb Landry Jones,17.556713478703703
Michael Dorn,17.53544754879852
William Peltz,17.492389939285715
Patrick Swayze,17.467983879841388
Rod Taylor,17.392977895370368
Ivan Kane,17.294274392857144
Lainie Kazan,17.155004846833723
Michael Winslow,17.08395796720509
Edith Evanson,17.05034347376415
Phil Harris,17.0411118875
Bill Weston,17.01162250575998
Steve Guttenberg,16.959319463492065
Reginald VelJohnson,16.912532173165264
Diedrich Bader,16.821841728313395
Pat Buttram,16.79979849166667
Ashley LeConte Campbell,16.735307945689655
Mario Van Peebles,16.647283835921424
Keith Stanfield,16.623644247023808
James Hampton,16.60497295762712
George W. Bush,16.495082881746033
Nia Vardalos,16.332927514771242
Henry Thomas,16.247042466746056
Garrick Hagon,16.208315620029644
Judith Malina,16.154444877777777
Anthony Daniels,16.02444513213514
Bernard Fox,16.006152793357625
Mark Blum,15.977589369444445
Edward Burns,15.955740880733543
Kristin Scott Thomas,15.909992567062048
Ally Sheedy,15.84351566502809
Hal Galili,15.738559737615741
Robert Costanzo,15.64032634883297
Alex Rocco,15.636661293464053
John Hillerman,15.621243321678321
Steven Spielberg,15.613756892334687
Barton Heyman,15.543285074165862
Andy McPhee,15.489103714285713
Frank Sivero,15.458333069572651
Victoria Rowell,15.454710875
Casey Affleck,15.387009858918178
John Belushi,15.22921415122938
Tony Danza,15.140009384615384
Bert Moorhouse,15.127148348100832
Judd Nelson,14.998128729779411
Anna Chancellor,14.96607232576923
Jean-Pierre Léaud,14.961638833333332
Richard O'Brien,14.960565782121051
Barbara Hershey,14.78217059442097
Kelly McGillis,14.757144741666668
Daniel Kaluuya,14.753217396825395
Claude Akins,14.679924242424242
Milica Govich ,14.646044536444444
Scott Mosier,14.63201305
Eileen Brennan,14.582298932575757
Elizabeth Wilson,14.539741283333333
Brian O'Halloran,14.515969425
Corin Redgrave,14.489881105477856
Slim Pickens,14.42802115533613
Mel Gibson,14.392480882837534
Kenny Baker,14.341396970869361
Ulrich Tukur,14.301674406619385
Frederic Forrest,14.29582581095238
Monica Potter,14.172749548095238
George Gaynes,14.083443864550263
Yo Oizumi,14.053970979166667
Bob Newhart,14.035119031746513
John Houseman,13.970687875000001
Frank McLure,13.88760447222961
Tobin Bell,13.795734305302497
Jeremy Bulloch,13.786023957399511
Janet Leigh,13.780319357639897
Danny Borzage,13.737999014767498
William H. O'Brien,13.737999014767498
William Schallert,13.689989
Sam Claflin,13.67542936342319
Neal Huff,13.668815046296297
Monte Landis,13.667998436507936
Robert Wuhl,13.645120207142858
Burt Kwouk,13.626661410994153
Thomas Arnold,13.619855983006536
Charles Bronson,13.601621359422492
Sophie Thompson,13.601165224060606
Aurore Clément,13.559654087301588
G. W. Bailey,13.517952056902358
Desmond Llewelyn,13.484068795509835
Susannah York,13.463688315371666
C. Thomas Howell,13.4339340982835
Ned Bellamy,13.404003844345102
Robert Carlyle,13.307435003684807
Gary Riley,13.297167638157894
Norman Fell,13.22129264165055
Riley Keough,13.207259061904761
Buck Henry,13.026337541666669
Marcia Jean Kurtz,12.945627613299147
Ned Vaughn,12.944208826086957
Jack Weston,12.89013753131313
William Daniels,12.87668353732639
Peter Coyote,12.866301698638921
Vincent Price,12.75441054039046
Andy Nyman,12.7507923
John Landis,12.734912893185186
Chris Pedersen,12.689682345238097
Joey Lauren Adams,12.588908796416682
Shane Rimmer,12.541954180562565
Alex Hyde-White,12.49570096682276
Edwin Hodge,12.486263024615386
Anthony Perkins,12.44416697679427
Marcus Henderson,12.423602139659673
Ken Leung,12.395456899319402
Will Sampson,12.38309528461356
Robert Stack,12.375587600000001
Tim Matheson,12.358384673992251
Karen Allen,12.352097387080262
Andrew Havill,12.33230075135418
Saurabh Shukla,12.3082684991453
Robert Ridgely,12.30600917457265
Sally Kirkland,12.289850146212123
Molly Ringwald,12.261894087435897
Kenneth Mars,12.255738721428571
Arthur O'Connell,12.254712445838576
Woody Strode,12.254556478365384
James DeBello,12.240773404218658
Lee Van Cleef,12.235816666666667
Ted Ross,12.187179007936507
Susan Sarandon,12.139049750756355
Ralph Bellamy,12.10838209786851
Lee Ving,12.103283608333333
Ingrid Bergman,12.074329007972665
Maria Breyman,12.053404111870329
Charles Rocket,12.049390329545455
Trey Burvant,12.04862397
Paul Gleason,11.9941953780925
Tom Tangen,11.989787930994153
Clu Gulager,11.989662555555556
Anne Bancroft,11.972900358942308
Ben Johnson,11.963104530629773
Agnes Moorehead,11.921672024429334
Harrison Ford,11.921019245971431
Marcel Dalio,11.916287015945331
Micole Mercurio,11.831393498431373
Ronald Lacey,11.822735967592592
Creighton Hale,11.801673865115522
Harmony Korine,11.799898458333333
Brenda Fricker,11.79537498914263
Niamh Wilson,11.767091537121212
Emilio Estevez,11.7311750832178
Rhys Wakefield,11.700138444444443
Leoda Richards,11.700102258630952
Cindy Pickett,11.689394833333333
Jack Pennick,11.687060714285714
Ray Teal,11.687060714285714
Gary Cooper,11.687060714285714
Joseph Oliveira,11.679532397899303
John Corbett,11.663511708853616
Christopher Malcolm,11.621584078518518
Billie Bird,11.608945866096866
Joan Blair,11.607041506434165
Joanne Baron,11.598798369263303
James Stewart,11.582087216642016
Madeline Kahn,11.558986006732873
Mel Brooks,11.503188627420267
Sean Connery,11.502972788511501
Bert Stevens,11.502359377783687
Tony Revolori,11.469228325313283
Mark Addy,11.468841595676441
Hugh Griffith,11.458224206666667
Lee Weaver,11.420431030769231
Scatman Crothers,11.389495374977507
Geneviève Bujold,11.38095042857143
