director,return
George P. Cosmatos,3.238556568484848
Michel Gondry,3.1391939
David Mackenzie,3.1324413333333334
Barry Sonnenfeld,3.11358480870574
Justin Lin,3.100794952640791
Dwight H. Little,3.0940193833333334
Mike Mitchell,3.092810946600119
Robert Luketic,3.0820348698200912
Paul W.S. Anderson,3.0734127851178115
Roman Polanski,3.0712219254579156
Ron Shelton,3.049461675978836
Harold Becker,3.040078134987469
Rob Reiner,3.0377307952827817
Thomas Carter,3.0371818572261073
Doug Liman,3.0145707030200835
Kenneth Branagh,3.012057104780702
Kevin Reynolds,3.0011913170046087
Park Chan-wook,2.9998942083333335
Brian Levant,2.996534564489355
Peyton Reed,2.99515099967033
Zhang Yimou,2.9831332748188815
Zack Snyder,2.9810459475365088
Dennis Dugan,2.9632485769850896
Joe Johnston,2.9541462470174094
Jonathan Levine,2.9463311870833335
Adam McKay,2.94033392293356
Malcolm D. Lee,2.9394269719218795
John Sturges,2.93611775
Brett Ratner,2.9341028253490955
Andrew Davis,2.9169872827370953
Matthew Vaughn,2.904120314124949
D.J. Caruso,2.9005179027680517
Mark Waters,2.8925970617112435
Paul Verhoeven,2.87942752225278
Alex Proyas,2.870585840698413
John Singleton,2.8655722605013394
Betty Thomas,2.8572195642410017
Jonathan Lynn,2.848497092493947
Bryan Singer,2.8409707836831073
Jason Friedberg,2.836805038666667
Joel Schumacher,2.8351273295801525
Adam Shankman,2.815175527746212
Harold Ramis,2.8077052909960045
Simon West,2.789603703442029
Roger Donaldson,2.7859784973796846
Todd Haynes,2.781554324231011
Gore Verbinski,2.7678802605695734
Tim Hill,2.7656249996031743
Mark L. Lester,2.7391574333333337
Penny Marshall,2.7335606500000003
Stephen Sommers,2.6942062261717687
Wes Anderson,2.6813571110941044
John Moore,2.6560351153333333
George Clooney,2.650925424552545
Jean-Jacques Annaud,2.6409854045988443
Wolfgang Petersen,2.627115616493404
Stanley Donen,2.6243898461538464
Mike Leigh,2.6235765972222223
Ken Kwapis,2.6181362229999996
Edward Zwick,2.6004654025867455
David Dobkin,2.5999258914615386
Robert Rodriguez,2.5925599363298217
Lars von Trier,2.5812858867961714
Phillip Noyce,2.553257433509826
Martin Campbell,2.534659368347512
David R. Ellis,2.5260277585657676
Michael Apted,2.5171522246651574
Joe Carnahan,2.5012752633730972
John Woo,2.49409691162447
Boaz Yakin,2.488726975
Kathryn Bigelow,2.4881764525
Ernest R. Dickerson,2.46692708
Ridley Scott,2.441953690541617
Joe Wright,2.429248358571429
Brad Silberling,2.4056017306839825
David Cronenberg,2.39790463317111
Tarsem Singh,2.377188468280543
Taylor Hackford,2.3740011520885544
Stephen Hopkins,2.3558581705357144
Walter Hill,2.333535768480218
Peter Chelsom,2.244703993650794
Cameron Crowe,2.212629102363261
David Lynch,2.2122821405701756
Martin Ritt,2.211103284982935
Philip Kaufman,2.18981748583878
Spike Lee,2.180452679526862
Guillermo del Toro,2.159420681213432
Robert Schwentke,2.113424266333092
Peter Segal,2.1041885607536917
Roger Spottiswoode,2.0995737276053212
Renny Harlin,2.02427800787436
James Foley,2.0010186228843283
Antoine Fuqua,1.9854989553321443
Rob Minkoff,1.9812281365753726
David Bowers,1.9776252236535723
Donald Petrie,1.9763727513264622
Peter Berg,1.975593521689828
McG,1.9751162516349472
Wayne Wang,1.9600090494711087
Gavin O'Connor,1.9471398219155844
Russell Mulcahy,1.9130426518518517
David Gordon Green,1.8950167711709838
Ben Stiller,1.8931040494077598
Gary Fleder,1.883824970942761
Andrew Fleming,1.8833411743589745
Richard Benjamin,1.8543971627096774
Luc Besson,1.7934446886184467
Alejandro Amenábar,1.783444692794672
Lee Tamahori,1.777429669642857
Mark Steven Johnson,1.7630955193861695
Gregory Hoblit,1.7517139981950844
Michael Mann,1.749333793872338
Andrzej Bartkowiak,1.7377261473333334
Paul Weitz,1.7317876698717949
Tom Tykwer,1.7086926946405228
John Frankenheimer,1.6929015468831168
Andrew Niccol,1.6775314632756133
Dominic Sena,1.6462991583333333
David Twohy,1.63943881770644
Jonathan Frakes,1.6301407704916855
Mark Pellington,1.6195312802083333
Brian Helgeland,1.6056158402722833
Richard Loncraine,1.5895485
