title,vote_average,vote_count,year
Edward Scissorhands,7.5,3731.0,1990
Die Hard,7.5,4005.0,1988
Cast Away,7.5,3304.0,2000
Beauty and the Beast,7.5,3029.0,1991
Titanic,7.5,7770.0,1997
Harry Potter and the Philosopher's Stone,7.5,7188.0,2001
The Incredibles,7.4,5290.0,2004
Children of Men,7.4,2120.0,2006
Harry Potter and the Chamber of Secrets,7.4,5966.0,2002
American Sniper,7.4,4600.0,2014
Blood Diamond,7.4,2344.0,2006
Hot Fuzz,7.4,2252.0,2007
Star Trek,7.4,4574.0,2009
Birdman,7.4,4657.0,2014
Tangled,7.4,3419.0,2010
Harry Potter and the Order of the Phoenix,7.4,5633.0,2007
The Hunger Games: Catching Fire,7.4,6656.0,2013
Midnight in Paris,7.4,2049.0,2011
Drive,7.4,3832.0,2011
The Conjuring,7.4,3169.0,2013
Fury,7.4,4028.0,2014
Iron Man,7.4,8951.0,2008
The Avengers,7.4,12000.0,2012
Star Trek Into Darkness,7.4,4479.0,2013
Back to the Future Part II,7.4,3926.0,1989
Harry Potter and the Half-Blood Prince,7.4,5435.0,2009
The Terminator,7.4,4208.0,1984
Deadpool,7.4,11444.0,2016
Aladdin,7.4,3495.0,1992
Rogue One: A Star Wars Story,7.4,5111.0,2016
The Age of Adaline,7.4,2052.0,2015
Twelve Monkeys,7.4,2470.0,1995
Groundhog Day,7.4,2358.0,1993
The Bourne Identity,7.3,3640.0,2002
The Curious Case of Benjamin Button,7.3,3398.0,2008
Moana,7.3,3471.0,2016
Shrek,7.3,4183.0,2001
District 9,7.3,3451.0,2009
Pitch Perfect,7.3,2310.0,2012
The Big Short,7.3,2679.0,2015
The Great Gatsby,7.3,3885.0,2013
Now You See Me,7.3,5635.0,2013
Mad Max: Fury Road,7.3,9629.0,2015
The Revenant,7.3,6558.0,2015
Gravity,7.3,5879.0,2013
The Fifth Element,7.3,3962.0,1997
Southpaw,7.3,2112.0,2015
Black Swan,7.3,4562.0,2010
Toy Story 2,7.3,3914.0,1999
Dawn of the Planet of the Apes,7.3,4511.0,2014
Avengers: Age of Ultron,7.3,6908.0,2015
Frozen,7.3,5440.0,2013
The Butterfly Effect,7.3,2119.0,2004
E.T. the Extra-Terrestrial,7.3,3359.0,1982
Ghostbusters,7.3,2431.0,1984
Zodiac,7.3,2080.0,2007
Predator,7.3,2129.0,1987
Casino Royale,7.3,3930.0,2006
Furious 7,7.3,4253.0,2015
American Psycho,7.3,2128.0,2000
The Bourne Ultimatum,7.3,2938.0,2007
Get Out,7.2,2978.0,2017
Zombieland,7.2,3655.0,2009
Baby Driver,7.2,2083.0,2017
Scott Pilgrim vs. the World,7.2,2185.0,2010
Avatar,7.2,12114.0,2009
Fantastic Beasts and Where to Find Them,7.2,5612.0,2016
(500) Days of Summer,7.2,2993.0,2009
Arrival,7.2,5729.0,2016
The Girl with the Dragon Tattoo,7.2,2479.0,2011
Life of Pi,7.2,5912.0,2012
Bridge of Spies,7.2,2633.0,2015
Wonder Woman,7.2,5025.0,2017
Sicario,7.2,2465.0,2015
Ocean's Eleven,7.2,3857.0,2001
Saw,7.2,2255.0,2004
Sin City,7.2,2755.0,2005
The Hangover,7.2,6324.0,2009
The Bourne Supremacy,7.2,2873.0,2004
Taken,7.2,4444.0,2008
Doctor Strange,7.1,5880.0,2016
Star Wars: Episode III - Revenge of the Sith,7.1,4200.0,2005
Despicable Me,7.1,6595.0,2010
X-Men: First Class,7.1,5252.0,2011
The Equalizer,7.1,2997.0,2014
The Social Network,7.1,3492.0,2010
Captain America: Civil War,7.1,7462.0,2016
The Man from U.N.C.L.E.,7.1,2306.0,2015
Mission: Impossible - Rogue Nation,7.1,3274.0,2015
Argo,7.1,3473.0,2012
Limitless,7.1,3888.0,2011
Source Code,7.1,2752.0,2011
Fast Five,7.1,2491.0,2011
Ice Age,7.1,3954.0,2002
Nerve,7.1,2262.0,2016
Home Alone,7.1,2487.0,1990
Wreck-It Ralph,7.1,4656.0,2012
Kick-Ass,7.1,4747.0,2010
Minority Report,7.1,2663.0,2002
The Hobbit: The Battle of the Five Armies,7.1,4884.0,2014
Back to the Future Part III,7.1,2978.0,1990
Indiana Jones and the Temple of Doom,7.1,2841.0,1984
Sherlock Holmes: A Game of Shadows,7.0,3971.0,2011
The Maze Runner,7.0,5540.0,2014
Maleficent,7.0,4607.0,2014
John Wick,7.0,5499.0,2014
"Crazy, Stupid, Love.",7.0,2522.0,2011
Rise of the Planet of the Apes,7.0,4452.0,2011
Hugo,7.0,2197.0,2011
Juno,7.0,2313.0,2007
Watchmen,7.0,2892.0,2009
The Impossible,7.0,2071.0,2012
Silver Linings Playbook,7.0,4840.0,2012
Monsters University,7.0,3622.0,2013
The Hobbit: An Unexpected Journey,7.0,8427.0,2012
22 Jump Street,7.0,3375.0,2014
Ant-Man,7.0,6029.0,2015
Pirates of the Caribbean: Dead Man's Chest,7.0,5380.0,2006
Despicable Me 2,7.0,4729.0,2013
The Devil Wears Prada,7.0,3198.0,2006
Batman,7.0,2145.0,1989
300,7.0,5092.0,2006
Split,7.0,4461.0,2016
127 Hours,7.0,2668.0,2010
Superbad,7.0,2152.0,2007
Sully,7.0,2106.0,2016
The Conjuring 2,7.0,2018.0,2016
The Nice Guys,7.0,2382.0,2016
Sherlock Holmes,7.0,5883.0,2009
The Secret Life of Walter Mitty,7.0,3213.0,2013
The Simpsons Movie,6.9,2335.0,2007
Skyfall,6.9,7718.0,2012
Spy,6.9,2590.0,2015
The Accountant,6.9,2121.0,2016
Divergent,6.9,4784.0,2014
The Hunger Games,6.9,9634.0,2012
Die Hard: With a Vengeance,6.9,2094.0,1995
Jumanji,6.9,2413.0,1995
Pirates of the Caribbean: At World's End,6.9,4627.0,2007
Troy,6.9,2841.0,2004
Kung Fu Panda,6.9,3231.0,2008
Men in Black,6.9,4521.0,1997
Mean Girls,6.9,2401.0,2004
I Am Legend,6.9,4977.0,2007
Iron Man 3,6.8,8951.0,2013
X-Men,6.8,4172.0,2000
X2,6.8,3572.0,2003
Sing,6.8,2363.0,2016
The Fate of the Furious,6.8,3803.0,2017
Beauty and the Beast,6.8,5530.0,2017
10 Cloverfield Lane,6.8,2537.0,2016
Hotel Transylvania,6.8,2622.0,2012
American Hustle,6.8,2868.0,2013
The Croods,6.8,2447.0,2013
A Bug's Life,6.8,2379.0,1998
Finding Dory,6.8,4333.0,2016
Spider-Man,6.8,5398.0,2002
A.I. Artificial Intelligence,6.8,2011.0,2001
Mission: Impossible - Ghost Protocol,6.8,4026.0,2011
Non-Stop,6.8,2302.0,2014
We're the Millers,6.8,3053.0,2013
Thor: The Dark World,6.8,4873.0,2013
Spider-Man 2,6.7,4432.0,2004
The Matrix Reloaded,6.7,3500.0,2003
Fast & Furious 6,6.7,5282.0,2013
Mission: Impossible,6.7,2677.0,1996
The Jungle Book,6.7,2977.0,2016
Charlie and the Chocolate Factory,6.7,3759.0,2005
John Wick: Chapter 2,6.7,2924.0,2017
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2709.0,2005
In Time,6.7,3512.0,2011
The Adventures of Tintin,6.7,2095.0,2011
Brave,6.7,4760.0,2012
Passengers,6.7,4134.0,2016
Focus,6.7,2588.0,2015
Pacific Rim,6.7,4903.0,2013
Now You See Me 2,6.7,3362.0,2016
"I, Robot",6.7,3889.0,2004
World War Z,6.7,5683.0,2013
Independence Day,6.7,3334.0,1996
21 Jump Street,6.7,4151.0,2012
Snowpiercer,6.7,2910.0,2013
Easy A,6.7,2282.0,2010
Shrek 2,6.7,3082.0,2004
Cinderella,6.7,2426.0,2015
The Fast and the Furious,6.6,3485.0,2001
The Purge: Anarchy,6.6,2008.0,2014
Underworld,6.6,2556.0,2003
The Mummy,6.6,2796.0,1999
Ender's Game,6.6,2354.0,2013
The Cabin in the Woods,6.6,2314.0,2012
50 First Dates,6.6,2161.0,2004
The Hunger Games: Mockingjay - Part 2,6.6,4117.0,2015
The Book of Eli,6.6,2207.0,2010
Iron Man 2,6.6,6969.0,2010
